,mouse_id,days,rel_days,rel_sess,metric,perf,perf_norm
118,41,2020-09-05,11,5,si,0.661643,0.6214059303343032
119,41,2020-09-08,14,6,si,0.416782,0.3914358747188311
120,41,2020-09-11,17,7,si,0.438807,0.4121214492894274
121,41,2020-08-10,-15,-9,si_norm,-5.46796,0.7944259983185398
122,41,2020-08-11,-14,-8,si_norm,-6.11548,0.8885025318760678
123,41,2020-08-12,-13,-7,si_norm,-6.33132,0.9198613763952438
124,41,2020-08-13,-12,-6,si_norm,-6.6191,0.961672200504438
125,41,2020-08-14,-11,-5,si_norm,-6.90689,1.0034844774881928
126,41,2020-08-18,-7,-4,si_norm,-6.73422,0.9783976924477642
127,41,2020-08-19,-6,-3,si_norm,-6.763,0.9825790654335959
128,41,2020-08-20,-5,-2,si_norm,-6.90689,1.0034844774881928
129,41,2020-08-21,-4,-1,si_norm,-6.83494,0.993031045023614
130,41,2020-08-24,-1,0,si_norm,-6.90689,1.0034844774881928
131,41,2020-08-26,1,1,si_norm,-0.517844,0.07523623740357756
132,41,2020-08-27,2,2,si_norm,-6.04353,0.8780490994114889
133,41,2020-08-30,5,3,si_norm,-2.50074,0.3633261529043931
134,41,2020-09-02,8,4,si_norm,-2.0314,0.29513693827026566
135,41,2020-09-05,11,5,si_norm,-4.50866,0.6550517417060234
136,41,2020-09-08,14,6,si_norm,-2.15832,0.31357682219527405
137,41,2020-09-11,17,7,si_norm,-2.45376,0.3565005482180009
138,41,2020-08-10,-15,-9,si_raw,4086.86,0.2418417766836895
139,41,2020-08-11,-14,-8,si_raw,11691.7,0.6918616004592016
140,41,2020-08-12,-13,-7,si_raw,6446.37,0.38146684103699063
141,41,2020-08-13,-12,-6,si_raw,4947.25,0.29275574149796735
142,41,2020-08-14,-11,-5,si_raw,13204.7,0.7813940552343646
143,41,2020-08-18,-7,-4,si_raw,10113.3,0.5984590713004989
144,41,2020-08-19,-6,-3,si_raw,5054.8,0.2991200610690637
145,41,2020-08-20,-5,-2,si_raw,19200.0,1.1361686263602957
146,41,2020-08-21,-4,-1,si_raw,13067.1,0.7732515134121157
147,41,2020-08-24,-1,0,si_raw,18429.6,1.090579860227589
148,41,2020-08-26,1,1,si_raw,43.7675,0.0025899614767825128
149,41,2020-08-27,2,2,si_raw,2520.0,0.14912213220978882
150,41,2020-08-30,5,3,si_raw,3027.15,0.17913296131700882
151,41,2020-09-02,8,4,si_raw,694.861,0.041118711868819866
152,41,2020-09-05,11,5,si_raw,4590.6,0.27165081750883197
153,41,2020-09-08,14,6,si_raw,904.246,0.0535091633183225
154,41,2020-09-11,17,7,si_raw,2050.82,0.1213581949120949
155,63,2021-02-11,-19,-17,blr,0.3871821463108063,0.4398746411878536
156,63,2021-02-12,-18,-16,blr,0.34520962834358215,0.39218998822412227
157,63,2021-02-14,-16,-15,blr,0.4734395742416382,0.5378710377737745
158,63,2021-02-16,-14,-14,blr,0.4584321975708008,0.5208212732348994
159,63,2021-02-17,-13,-13,blr,0.5535562038421631,0.6288909208817666
160,63,2021-02-18,-12,-12,blr,0.5016372799873352,0.5699062331343901
161,63,2021-02-19,-11,-11,blr,0.2204861044883728,0.2504925576317146
162,63,2021-02-20,-10,-10,blr,0.4382409155368805,0.4978821139156475
163,63,2021-02-21,-9,-9,blr,0.5422008633613586,0.6159902064062852
164,63,2021-02-22,-8,-8,blr,0.5752025842666626,0.6534832062259339
165,63,2021-02-23,-7,-7,blr,0.6729573607444763,0.7645416515527478
166,63,2021-02-24,-6,-6,blr,0.6395903825759888,0.7266336857820215
167,63,2021-02-25,-5,-5,blr,0.7183628082275391,0.816126429182327
168,63,2021-02-26,-4,-4,blr,0.8041125535964966,0.9135460515371279
169,63,2021-02-27,-3,-3,blr,0.6937805414199829,0.7881987060303465
170,63,2021-02-28,-2,-2,blr,0.9280086755752563,1.054303477258471
171,63,2021-03-01,-1,-1,blr,0.7915049195289612,0.8992226160054878
172,63,2021-03-02,0,0,blr,0.9211170077323914,1.0464739067360413
173,63,2021-03-03,1,1,blr,0.0357142873108387,0.04057472552859968
174,63,2021-03-04,2,2,blr,0.40833336114883423,0.4639043727398249
175,63,2021-03-05,3,3,blr,0.061602868139743805,0.0699865419346072
176,63,2021-03-06,4,4,blr,0.4205239415168762,0.47775399678979236
177,63,2021-03-07,5,5,blr,0.5940317511558533,0.6748748770665628
178,63,2021-03-10,8,6,blr,0.23329496383666992,0.265044603648152
179,63,2021-03-14,12,7,blr,0.507657527923584,0.5767457902422057
180,63,2021-03-17,15,8,blr,0.35681289434432983,0.4053723689648627
181,63,2021-02-11,-19,-17,dist,8.462483406066895,12.217655932322455
182,63,2021-02-12,-18,-16,dist,7.68388032913208,11.093552752986547
183,63,2021-02-14,-16,-15,dist,5.573401927947998,8.04656314946433
184,63,2021-02-16,-14,-14,dist,5.4549479484558105,7.875545979231254
185,63,2021-02-17,-13,-13,dist,3.700078010559082,5.3419638050166105
186,63,2021-02-18,-12,-12,dist,4.2357378005981445,6.115319178072407
187,63,2021-02-19,-11,-11,dist,,
188,63,2021-02-20,-10,-10,dist,5.54412841796875,8.004299707907512
189,63,2021-02-21,-9,-9,dist,3.883739709854126,5.607124200879109
190,63,2021-02-22,-8,-8,dist,3.253185987472534,4.696766323972618
191,63,2021-02-23,-7,-7,dist,2.370007038116455,3.421682402133928
192,63,2021-02-24,-6,-6,dist,2.2911763191223145,3.307871059132945
193,63,2021-02-25,-5,-5,dist,2.4390039443969727,3.521296241344025
194,63,2021-02-26,-4,-4,dist,2.675973892211914,3.863420077785197
195,63,2021-02-27,-3,-3,dist,1.7292871475219727,2.4966471853243353
196,63,2021-02-28,-2,-2,dist,0.38506489992141724,0.5559349700445211
197,63,2021-03-01,-1,-1,dist,1.395668387413025,2.014987248401213
198,63,2021-03-02,0,0,dist,0.2971980571746826,0.4290777815542657
199,63,2021-03-03,1,1,dist,18.85714340209961,27.224879376206168
200,63,2021-03-04,2,2,dist,7.541666507720947,10.888232463959296
201,63,2021-03-05,3,3,dist,19.23444938659668,27.769612462062096
202,63,2021-03-06,4,4,dist,7.519773006439209,10.856623862443769
203,63,2021-03-07,5,5,dist,3.97723388671875,5.742105816770817
204,63,2021-03-10,8,6,dist,15.171842575073242,21.904250034772915
205,63,2021-03-14,12,7,dist,4.054996967315674,5.8543757637097436
206,63,2021-03-17,15,8,dist,10.205719947814941,14.734442465748355
207,63,2021-02-11,-19,-17,si,0.0825566,0.037993624515242255
208,63,2021-02-12,-18,-16,si,0.1371,0.06309520887536203
209,63,2021-02-14,-16,-15,si,0.141338,0.06504559177261794
210,63,2021-02-16,-14,-14,si,0.154171,0.07095150581709293
211,63,2021-02-17,-13,-13,si,0.536879,0.24707872097589711
212,63,2021-02-18,-12,-12,si,0.828111,0.38110748735948163
213,63,2021-02-19,-11,-11,si,0.428666,0.1972776864169653
214,63,2021-02-20,-10,-10,si,0.217363,0.10003328874380248
215,63,2021-02-21,-9,-9,si,0.73998,0.3405484512296893
216,63,2021-02-22,-8,-8,si,0.610795,0.2810958286289333
217,63,2021-02-23,-7,-7,si,0.948156,0.43635376270188014
218,63,2021-02-24,-6,-6,si,1.00594,0.4629467134652202
219,63,2021-02-25,-5,-5,si,0.915073,0.42112853443620835
220,63,2021-02-26,-4,-4,si,2.18002,1.003273648814491
221,63,2021-02-27,-3,-3,si,1.36331,0.6274130504148054
222,63,2021-02-28,-2,-2,si,2.2162,1.0199241568896962
223,63,2021-03-01,-1,-1,si,2.24778,1.0344576849442837
224,63,2021-03-02,0,0,si,2.05474,0.9456181581660202
225,63,2021-03-03,1,1,si,0.232945,0.10720432845712043
226,63,2021-03-04,2,2,si,1.05144,0.48388640714741543
227,63,2021-03-05,3,3,si,0.249135,0.11465517770359826
228,63,2021-03-06,4,4,si,0.676723,0.3114367544548623
229,63,2021-03-07,5,5,si,0.621291,0.285926224780325
230,63,2021-03-10,8,6,si,0.183257,0.08433726253006726
231,63,2021-03-14,12,7,si,0.313493,0.14427356904422955
