spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
1.0,0.09090909090909091,0.0,0.0,0.0,0.0,5.240321126878655,0.4763928297162414,0.0,0.0,cerebral_nuclei,33
35.0,0.07865168539325842,27.0,0.09747292418772563,0.08827096,0.007430246760297813,256.3783265087865,0.5761310708062617,197.77756616392097,0.7139984338047689,cerebral_nuclei,41
2.0,0.09090909090909091,0.0,0.0,0.001381,0.00011624628049781356,9.62186086789185,0.4373573121769023,0.0,0.0,cerebral_nuclei,83
29.0,0.13004484304932734,23.0,0.19827586206896552,0.0358406,0.0030168982192686,159.59144589849984,0.7156567080650217,126.57252605743092,1.0911424660123354,cerebral_nuclei,85
16.0,0.18823529411764706,11.0,0.4782608695652174,0.0091428,0.000769599198649826,75.66693307732687,0.8901992126744338,52.02101649066223,2.2617833256809665,cerebral_nuclei,86
4.0,0.125,1.0,0.14285714285714285,0.0,0.0,18.423161598761965,0.5757237999613114,4.605790399690491,0.6579700570986415,cerebral_nuclei,89
69.0,0.14967462039045554,55.0,0.2301255230125523,0.12914690000000004,0.010870996931805273,311.5743082147244,0.6758661783399662,248.35633263492522,1.0391478352925743,cerebral_nuclei,90
1.0,0.14285714285714285,1.0,0.25,0.0,0.0,4.323520383236847,0.6176457690338352,4.323520383236847,1.0808800958092117,cerebral_nuclei,91
4.0,0.10526315789473684,1.0,0.07142857142857142,0.0,0.0,17.26780202464979,0.45441584275394176,4.316950506162447,0.30835360758303193,cerebral_nuclei,93
1.0,0.0625,0.0,0.0,0.0,0.0,4.453251987263699,0.2783282492039812,0.0,0.0,cerebral_nuclei,95
2.0,0.1111111111111111,,,,,6.17955309472019,0.3433085052622328,,,cerebral_nuclei,108
2.0,0.16666666666666666,,,,,6.492705445432057,0.5410587871193381,,,cerebral_nuclei,111
9.0,0.125,,,,,28.018355135764494,0.3891438213300624,,,cerebral_nuclei,112
8.0,0.10256410256410256,,,,,25.580436082484116,0.32795430874979636,,,cerebral_nuclei,113
2.0,0.022222222222222223,,,,,7.179446680044369,0.07977162977827076,,,cerebral_nuclei,114
3.0,0.25,,,,,10.288630377524143,0.8573858647936786,,,cerebral_nuclei,115
2.0,0.07407407407407407,,,,,6.281959468797507,0.2326651655110188,,,cerebral_nuclei,116
6.0,0.06976744186046512,,,,,17.863256769430013,0.20771228801662805,,,cerebral_nuclei,121
1.0,0.16666666666666666,,,,,3.092471069933141,0.5154118449888568,,,cerebral_nuclei,122
0.0,0.0,,,,,0.0,0.0,,,cerebral_nuclei,110
2.0,0.18181818181818182,0.0,0.0,0.0,0.0,10.48064225375731,0.9527856594324828,0.0,0.0,cortex,33
184.0,0.41348314606741576,131.0,0.4729241877256318,0.18398432000000003,0.008125257187127786,1347.8174879319058,3.0288033436672044,959.5874506471722,3.4642146232749895,cortex,41
8.0,0.36363636363636365,0.0,0.0,0.0043021,0.00015951516230160715,38.4874434715674,1.7494292487076093,0.0,0.0,cortex,83
100.0,0.4484304932735426,54.0,0.4655172413793104,0.045202900000000004,0.0020317745459839426,550.3153306844822,2.467781751948351,297.1702785696204,2.5618127462898315,cortex,85
41.0,0.4823529411764706,7.0,0.30434782608695654,0.0004647,1.7230351670476478e-05,193.89651601065012,2.281135482478237,33.104283221330505,1.4393166617969788,cortex,86
