spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel_extrap,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
4,0.571428571,1,0.25,0,0,17.29408153,2.470583076,4.323520383,1.080880096,other,91
10,0.263157895,3,0.214285714,0,0,43.16950506,1.136039607,12.95085152,0.925060823,other,93
3,0.1875,0,0,0,0,13.35975596,0.834984748,0,0,other,95
3,0.166666667,0,,,,9.269329642,0.514962758,,,other,108
24,0.142011834,0,,,,74.1766393,0.438915025,,,other,109
7,0.368421053,0,,,,22.78341758,1.199127241,,,other,110
4,0.333333333,0,,,,12.98541089,1.082117574,,,other,111
7,0.097222222,0,,,,21.79205399,0.302667417,,,other,112
11,0.141025641,0,,,,35.17309961,0.450937175,,,other,113
21,0.233333333,0,,,,75.38419014,0.837602113,,,other,114
3,0.25,0,,,,10.28863038,0.857385865,,,other,115
5,0.185185185,0,,,,15.70489867,0.581662914,,,other,116
6,0.069767442,0,,,,17.86325677,0.207712288,,,other,121
1,0.166666667,0,,,,3.09247107,0.515411845,,,other,122
37,0.198924731,0,,,,112.9795141,0.607416742,,,other,123
